LMP8760,gas8760
73.4362,3.007
55.4108,3.007
53.7715,3.007
90.2568,3.007
28.5834,3.007
21.8947,3.007
14.8864,3.007
13.1168,3.007
12.0546,3.007
13.0218,3.007
-4.7683,3.007
-8.9872,3.007
-6.3015,3.007
-7.5809,3.007
-7.9878,3.007
2.1657,3.007
-15.5128,3.007
-3.6223,3.007
-18.1396,3.007
-10.5867,3.007
1.0641,3.007
1.7953,3.007
5.8869,3.007
7.7846,3.007
6.6971,3.007
6.773,3.007
8.3294,3.007
11.6222,3.007
11.4685,3.007
12.0743,3.007
8.7688,3.007
11.2808,3.007
12.4403,3.007
28.8269,3.007
113.1289,3.007
64.0863,3.007
12.8219,3.007
13.3835,3.007
5.742,3.007
10.1072,3.007
4.9069,3.007
8.4709,3.007
6.4749,3.007
3.4998,3.007
3.607,3.007
7.4232,3.007
7.583,3.007
9.1596,3.007
7.9638,3.007
10.942,3.007
6.2369,3.007
6.8797,3.007
8.479,3.007
7.7424,3.007
8.049,3.007
3.6859,3.007
2.9981,3.007
4.9203,3.007
11.4277,3.007
18.5467,3.007
17.9567,3.007
14.7603,3.007
13.7896,3.007
12.3823,3.007
12.7778,3.007
13.3497,3.007
14.1344,3.007
14.5617,3.007
14.4918,3.007
15.2117,3.007
17.7231,3.007
18.9066,3.007
44.8918,3.007
23.2229,3.007
53.4068,3.007
17.9023,3.007
15.002,3.007
15.714,3.007
14.5449,3.007
12.8401,3.007
12.0349,3.007
16.531,3.007
24.6636,3.007
57.2273,3.007
21.0194,3.007
19.3472,3.007
17.3421,3.007
16.8632,3.007
16.4094,3.007
17.9561,3.007
16.0342,3.007
16.2837,3.007
17.2379,3.007
17.253,3.007
18.5245,3.007
19.5446,3.007
18.4526,3.007
18.3757,3.007
22.4529,3.007
21.4079,3.007
19.9469,3.007
17.455,3.007
16.9254,3.007
16.3279,3.007
15.6407,3.007
15.6888,3.007
16.8946,3.007
17.7819,3.007
17.019,3.007
16.2605,3.007
14.6507,3.007
13.6962,3.007
12.3175,3.007
14.0002,3.007
13.551,3.007
12.1758,3.007
11.1957,3.007
10.8613,3.007
10.4072,3.007
6.2523,3.007
4.4966,3.007
12.3957,3.007
14.0957,3.007
13.4446,3.007
14.1531,3.007
14.3567,3.007
13.7361,3.007
13.1906,3.007
13.5969,3.007
14.234,3.007
16.3246,3.007
16.9189,3.007
16.4595,3.007
15.5645,3.007
15.6746,3.007
16.0701,3.007
15.5263,3.007
16.5562,3.007
16.4788,3.007
17.0774,3.007
17.4652,3.007
17.669,3.007
17.7206,3.007
17.3838,3.007
17.071,3.007
16.4041,3.007
16.8915,3.007
13.0267,3.007
8.2251,3.007
1.4021,3.007
5.998,3.007
-8.8076,3.007
-10.47,3.007
-14.0128,3.007
-6.792,3.007
-8.5385,3.007
-8.5275,3.007
-10.6721,3.007
-9.8984,3.007
-8.169,3.007
-21.0745,3.007
-15.8596,3.007
-18.1409,3.007
-13.4617,3.007
-6.8478,3.007
-6.4641,3.007
-14.1089,3.007
-3.4505,3.007
1.5046,3.007
9.9701,3.007
4.487,3.007
1.4504,3.007
5.7068,3.007
3.3195,3.007
1.4693,3.007
-7.3865,3.007
-7.6419,3.007
-2.2288,3.007
0.4528,3.007
5.8863,3.007
3.3384,3.007
3.5784,3.007
7.7572,3.007
11.9479,3.007
12.1131,3.007
12.4057,3.007
13.2321,3.007
11.5531,3.007
14.147,3.007
16.3867,3.007
17.092,3.007
92.6712,3.007
58.6001,3.007
18.8796,3.007
20.1147,3.007
86.8727,3.007
19.0891,3.007
18.707,3.007
17.4298,3.007
17.0482,3.007
16.8358,3.007
16.9874,3.007
17.5508,3.007
17.7409,3.007
17.0824,3.007
16.844,3.007
15.916,3.007
14.1586,3.007
12.1904,3.007
11.9983,3.007
12.3145,3.007
11.24,3.007
11.7636,3.007
10.9474,3.007
14.1904,3.007
17.2544,3.007
19.2099,3.007
16.202,3.007
15.2837,3.007
15.751,3.007
19.05,3.007
17.1403,3.007
16.7603,3.007
16.2758,3.007
18.1637,3.007
17.2827,3.007
17.8565,3.007
18.6134,3.007
17.7725,3.007
16.4432,3.007
14.4695,3.007
13.4838,3.007
12.0254,3.007
12.4259,3.007
14.1434,3.007
13.5313,3.007
13.7461,3.007
16.1256,3.007
19.6549,3.007
34.359,3.007
17.5041,3.007
18.9444,3.007
73.2804,3.007
18.9943,3.007
17.5312,3.007
17.1467,3.007
13.7138,3.007
10.9108,3.007
11.3925,3.007
8.0603,3.007
11.5927,3.007
-2.5967,3.007
1.915,3.007
5.4335,3.007
3.7941,3.007
4.892,3.007
-1.4136,3.007
-0.3459,3.007
1.3842,3.007
7.7649,3.007
12.062,3.007
9.368,3.007
12.8979,3.007
10.9317,3.007
12.088,3.007
10.9505,3.007
17.7116,3.007
17.6442,3.007
18.7597,3.007
18.6203,3.007
18.3497,3.007
17.9369,3.007
17.7287,3.007
17.9027,3.007
18.9598,3.007
28.3042,3.007
22.7576,3.007
19.956,3.007
18.3333,3.007
21.8026,3.007
16.8001,3.007
16.7599,3.007
16.826,3.007
16.6567,3.007
16.6426,3.007
17.3041,3.007
18.7127,3.007
16.2764,3.007
6.8821,3.007
12.3528,3.007
7.6729,3.007
14.0929,3.007
6.9472,3.007
13.049,3.007
13.3956,3.007
4.6157,3.007
3.8796,3.007
-3.5763,3.007
-3.0361,3.007
1.7716,3.007
-3.8838,3.007
-4.0048,3.007
-6.424,3.007
-6.021,3.007
-7.547,3.007
-6.2717,3.007
-4.5693,3.007
-8.8628,3.007
-7.0675,3.007
-5.5983,3.007
-3.7643,3.007
-6.9973,3.007
3.0019,3.007
6.492,3.007
9.1136,3.007
10.4775,3.007
10.9675,3.007
13.4022,3.007
14.1,3.007
15.089,3.007
15.7838,3.007
16.0198,3.007
16.7745,3.007
18.1785,3.007
16.5779,3.007
14.2179,3.007
13.0949,3.007
12.411,3.007
12.4258,3.007
12.7734,3.007
13.404,3.007
13.5022,3.007
13.4726,3.007
13.6996,3.007
14.7888,3.007
14.863,3.007
15.3284,3.007
16.1563,3.007
17.3882,3.007
16.8422,3.007
16.891,3.007
16.8258,3.007
15.8474,3.007
15.7681,3.007
15.5911,3.007
15.7055,3.007
16.9081,3.007
15.4214,3.007
11.9086,3.007
10.3777,3.007
-9.2529,3.007
-14.8646,3.007
-24.9122,3.007
0.7472,3.007
7.9887,3.007
11.9764,3.007
13.0149,3.007
13.8111,3.007
16.4703,3.007
16.489,3.007
13.8944,3.007
13.1175,3.007
13.0938,3.007
12.1531,3.007
10.5271,3.007
11.8689,3.007
11.5371,3.007
4.3029,3.007
8.9369,3.007
11.4698,3.007
8.3467,3.007
10.8224,3.007
10.6803,3.007
5.7576,3.007
-12.5443,3.007
-2.3115,3.007
-5.3494,3.007
-3.601,3.007
-18.6256,3.007
-23.1023,3.007
-3.7657,3.007
2.8969,3.007
6.6339,3.007
13.1462,3.007
13.7819,3.007
13.1253,3.007
12.2393,3.007
12.3815,3.007
14.566,3.007
14.2405,3.007
14.1458,3.007
13.5968,3.007
12.8381,3.007
13.9017,3.007
14.9953,3.007
15.919,3.007
18.3667,3.007
17.044,3.007
15.4774,3.007
14.6556,3.007
13.9686,3.007
13.719,3.007
14.3385,3.007
14.373,3.007
14.2583,3.007
14.6416,3.007
17.4797,3.007
15.3033,3.007
14.9375,3.007
19.021,3.007
17.4724,3.007
19.5895,3.007
18.1142,3.007
19.7328,3.007
17.7004,3.007
16.3462,3.007
16.548,3.007
17.3759,3.007
15.7085,3.007
11.0498,3.007
12.4076,3.007
9.6929,3.007
10.8474,3.007
10.9575,3.007
10.947,3.007
9.7916,3.007
6.7453,3.007
2.6868,3.007
-0.2428,3.007
-5.7041,3.007
7.8535,3.007
12.5433,3.007
11.5745,3.007
11.8966,3.007
12.4673,3.007
15.5967,3.007
16.1303,3.007
16.5786,3.007
16.8473,3.007
16.0312,3.007
15.9423,3.007
17.4392,3.007
17.6094,3.007
18.2118,3.007
19.0105,3.007
31.6341,3.007
22.9632,3.007
19.0233,3.007
18.758,3.007
22.1202,3.007
19.1427,3.007
19.3477,3.007
19.3872,3.007
20.4847,3.007
23.0376,3.007
37.4722,3.007
-3.4205,3.007
6.5598,3.007
14.5659,3.007
9.6496,3.007
5.0466,3.007
1.8978,3.007
1.2612,3.007
2.5357,3.007
5.0709,3.007
4.9251,3.007
11.2271,3.007
10.1959,3.007
-1.3991,3.007
-18.3909,3.007
-23.3146,3.007
-23.6407,3.007
-27.3438,3.007
-18.5235,3.007
-16.5025,3.007
-2.4424,3.007
-0.3852,3.007
7.8471,3.007
10.7059,3.007
12.5452,3.007
13.4934,3.007
17.2208,3.007
15.6459,3.007
15.2946,3.007
15.329,3.007
17.9553,3.007
13.9833,3.007
10.5288,3.007
12.0132,3.007
14.6398,3.007
257.884,3.007
16.6556,3.007
5.6169,3.007
-3.8814,3.007
4.1632,3.007
-10.513,3.007
-10.3731,3.007
9.7109,3.007
11.4913,3.007
11.1745,3.007
11.9275,3.007
12.1124,3.007
10.5108,3.007
12.1421,3.007
13.7583,3.007
14.2267,3.007
18.6943,3.007
15.0502,3.007
12.5944,3.007
12.84,3.007
12.3663,3.007
9.9679,3.007
8.8009,3.007
7.9908,3.007
-1.4787,3.007
9.4081,3.007
13.6516,3.007
5.9659,3.007
12.0002,3.007
10.4163,3.007
10.6996,3.007
55.6347,3.007
3.5201,3.007
0.1498,3.007
8.5331,3.007
6.9631,3.007
7.4136,3.007
9.5806,3.007
9.2435,3.007
5.4502,3.007
9.9862,3.007
12.3765,3.007
13.8109,3.007
14.6456,3.007
16.49,3.007
17.5694,3.007
16.5672,3.007
22.6359,3.007
15.1712,3.007
13.1035,3.007
6.3844,3.007
11.5249,3.007
11.5569,3.007
10.874,3.007
9.8937,3.007
8.0725,3.007
10.0388,3.007
9.7627,3.007
10.6868,3.007
10.4618,3.007
10.9304,3.007
7.737,3.007
11.0176,3.007
11.4163,3.007
-2.1063,3.007
1.3474,3.007
6.1979,3.007
6.6253,3.007
5.6622,3.007
8.382,3.007
-0.4994,3.007
-5.3965,3.007
4.8021,3.007
3.4944,3.007
2.6864,3.007
0.6052,3.007
-3.504,3.007
-10.6377,3.007
-7.3088,3.007
-3.2681,3.007
-2.4808,3.007
0.4079,3.007
5.005,3.007
7.8645,3.007
9.4556,3.007
14.3973,3.007
14.5816,3.007
14.7091,3.007
13.8972,3.007
14.5638,3.007
16.2143,3.007
15.2064,3.007
13.9601,3.007
12.4473,3.007
13.4948,3.007
14.9416,3.007
17.4983,3.007
245.378,3.007
21.7403,3.007
19.6726,3.007
17.9528,3.007
17.6893,3.007
14.3474,3.007
13.2025,3.007
8.0089,3.007
-1.2067,3.007
-1.9487,3.007
-0.56,3.007
6.7823,3.007
13.1883,3.007
14.1263,3.007
24.0553,3.007
16.7055,3.007
37.8607,3.007
15.9347,3.007
13.9847,3.007
14.1376,3.007
6.1091,3.007
9.2216,3.007
10.1437,3.007
3.3263,3.007
13.8723,3.007
11.5427,3.007
12.5597,3.007
13.459,3.007
14.6598,3.007
14.6181,3.007
15.6719,3.007
16.3516,3.007
16.1869,3.007
15.2544,3.007
14.5679,3.007
15.5061,3.007
21.2156,3.007
15.0795,3.007
14.8614,3.007
17.4327,3.007
15.3583,3.007
15.1058,3.007
13.5807,3.007
12.3664,3.007
12.0469,3.007
12.1857,3.007
11.4977,3.007
17.9658,3.007
4.3018,2.851
-1.7311,2.851
-9.2915,2.851
-7.3217,2.851
-17.0257,2.851
-16.5062,2.851
-2.0331,2.851
0.1621,2.851
6.8828,2.851
5.901,2.851
-0.9132,2.851
