year,time,zone,location,existingresource,nameplateMWh,solarMWh,windMWh,batteriesMWh,natgasMWh,LMP8760,gas8760
2021,202,WCO,Carousel,wind,150,42,96.525,,,-11.8196,3.062
2021,203,WCO,Carousel,wind,150,47.25,96.525,,,-8.31,3.062
2021,204,WCO,Carousel,wind,150,52.5,96.525,,,-2.4108,3.062
2021,205,WCO,Carousel,wind,150,47.67,122.85,,,-0.3956,3.062
2021,206,WCO,Carousel,wind,150,52.5,122.85,,,8.5517,3.062
2021,207,WCO,Carousel,wind,150,47.25,122.85,,,11.0563,3.062
2021,208,WCO,Carousel,wind,150,42,122.85,,,11.9833,3.062
2021,209,WCO,Carousel,wind,150,31.5,122.85,,,12.566,3.062
2021,210,WCO,Carousel,wind,150,31.5,122.85,,,12.8605,3.062
2021,211,WCO,Carousel,wind,150,26.25,52.65,,,13.2439,3.062
2021,212,WCO,Carousel,wind,150,26.25,52.65,,,14.0672,3.062
2021,213,WCO,Carousel,wind,150,0,52.65,,,15.6877,3.062
2021,214,WCO,Carousel,wind,150,0,52.65,,,17.9727,3.062
2021,215,WCO,Carousel,wind,150,0,52.65,,,18.8095,3.062
2021,216,WCO,Carousel,wind,150,0,52.65,,,19.0768,3.062
2021,217,WCO,Carousel,wind,150,0,78.975,,,18.0176,3.062
2021,218,WCO,Carousel,wind,150,0,78.975,,,16.9131,3.062
2021,219,WCO,Carousel,wind,150,0,78.975,,,15.7272,3.062
2021,220,WCO,Carousel,wind,150,0,78.975,,,14.0991,3.062
2021,221,WCO,Carousel,wind,150,0,78.975,,,13.965,3.062
2021,222,WCO,Carousel,wind,150,0,78.975,,,13.0499,3.062
2021,223,WCO,Carousel,wind,150,0,96.525,,,13.405,3.062
2021,224,WCO,Carousel,wind,150,26.25,96.525,,,12.406,3.062
2021,225,WCO,Carousel,wind,150,31.5,96.525,,,10.4941,3.062
2021,226,WCO,Carousel,wind,150,42,96.525,,,10.0117,3.062
2021,227,WCO,Carousel,wind,150,47.25,96.525,,,12.6828,3.062
2021,228,WCO,Carousel,wind,150,52.5,96.525,,,14.673,3.062
2021,229,WCO,Carousel,wind,150,47.67,122.85,,,15.5146,3.062
2021,230,WCO,Carousel,wind,150,52.5,122.85,,,14.2678,3.062
2021,231,WCO,Carousel,wind,150,47.25,122.85,,,13.9304,3.062
2021,232,WCO,Carousel,wind,150,42,122.85,,,9.0301,3.062
2021,233,WCO,Carousel,wind,150,31.5,122.85,,,5.2853,3.062
2021,234,WCO,Carousel,wind,150,31.5,122.85,,,9.8152,3.062
2021,235,WCO,Carousel,wind,150,26.25,52.65,,,6.3566,3.062
2021,236,WCO,Carousel,wind,150,26.25,52.65,,,-2.855,3.062
2021,237,WCO,Carousel,wind,150,0,52.65,,,-5.7476,3.062
2021,238,WCO,Carousel,wind,150,0,52.65,,,-1.4288,3.062
2021,239,WCO,Carousel,wind,150,0,52.65,,,-4.4308,3.062
2021,240,WCO,Carousel,wind,150,0,52.65,,,-6.7202,3.062
2021,241,WCO,Carousel,wind,150,0,78.975,,,0.8236,3.062
2021,242,WCO,Carousel,wind,150,0,78.975,,,-2.6651,3.062
2021,243,WCO,Carousel,wind,150,0,78.975,,,-1.2563,3.062
2021,244,WCO,Carousel,wind,150,0,78.975,,,-2.8634,3.062
2021,245,WCO,Carousel,wind,150,0,78.975,,,-2.3401,3.062
2021,246,WCO,Carousel,wind,150,0,78.975,,,-2.7294,3.062
2021,247,WCO,Carousel,wind,150,0,96.525,,,-0.1646,3.062
2021,248,WCO,Carousel,wind,150,26.25,96.525,,,4.5558,3.062
2021,249,WCO,Carousel,wind,150,31.5,96.525,,,9.4068,3.062
2021,250,WCO,Carousel,wind,150,42,96.525,,,8.9373,3.062
2021,251,WCO,Carousel,wind,150,47.25,96.525,,,3.3596,3.062
2021,252,WCO,Carousel,wind,150,52.5,96.525,,,6.8198,3.062
2021,253,WCO,Carousel,wind,150,47.67,122.85,,,8.2808,3.062
2021,254,WCO,Carousel,wind,150,52.5,122.85,,,11.1053,3.062
2021,255,WCO,Carousel,wind,150,47.25,122.85,,,12.6563,3.062
2021,256,WCO,Carousel,wind,150,42,122.85,,,15.3974,3.062
2021,257,WCO,Carousel,wind,150,31.5,122.85,,,80.7773,3.062
